new_order,old_order,line-type,p1_x,p1_y,p2_x,p2_y,rx,ry,bezier p3_x,bezier p3_y,bezier p4_x,bezier p4_y,filled,work,travle_type
0,0,0,-2,10,10,10,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
0,0,0,10,10,100,10,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
0,0,0,100,10,112,10,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
0,0,4,112,10,104.874,-0.965739,-nan(ind),-nan(ind),117,10,106.904,-5.5348,-nan(ind),0,travel 
1,1,0,104.874,-0.965739,100,10,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
1,1,0,100,10,60,100,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
1,1,0,60,100,55.1263,110.966,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
1,1,4,55.1263,110.966,65.8277,110.49,-nan(ind),-nan(ind),53.0956,115.535,68.2559,114.861,-nan(ind),0,travel 
2,2,0,65.8277,110.49,60,100,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
2,2,0,60,100,10,10,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
2,2,0,10,10,4.17228,-0.489887,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
2,2,4,4.17228,-0.489887,98,10,-nan(ind),-nan(ind),1.74407,-4.86067,93,10,-nan(ind),0,travel 
3,3,0,98,10,110,10,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
3,3,0,110,10,200,10,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
3,3,0,200,10,212,10,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
3,3,4,212,10,200,-2,-nan(ind),-nan(ind),217,10,200,-7,-nan(ind),0,travel 
4,4,0,200,-2,200,10,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
4,4,0,200,10,200,110,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
5,5,0,200,110,200,122,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
4,4,4,200,122,205.367,149.267,-nan(ind),-nan(ind),200,127,207.603,144.795,-nan(ind),0,travel 
5,5,0,205.367,149.267,200,160,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
5,8,0,200,160,180,200,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
6,6,0,180,200,174.633,210.733,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
5,5,4,174.633,210.733,145.367,210.733,-nan(ind),-nan(ind),172.397,215.205,147.603,215.205,-nan(ind),0,travel 
6,6,0,145.367,210.733,140,200,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
6,10,0,140,200,120,160,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
7,7,0,120,160,114.633,149.267,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
6,6,4,114.633,149.267,110,122,-nan(ind),-nan(ind),112.397,144.795,110,127,-nan(ind),0,travel 
7,7,0,110,122,110,110,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
7,6,0,110,110,110,10,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
8,8,0,110,10,110,-2,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
7,7,4,110,-2,151.515,111.515,-nan(ind),-nan(ind),110,-7,147.979,107.979,-nan(ind),0,travel 
8,8,0,151.515,111.515,160,120,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
8,7,0,160,120,200,160,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
9,9,0,200,160,208.485,168.485,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
8,8,4,208.485,168.485,192,200,-nan(ind),-nan(ind),212.021,172.021,197,200,-nan(ind),0,travel 
9,9,0,192,200,180,200,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
9,9,0,180,200,140,200,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
10,10,0,140,200,128,200,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
9,9,4,128,200,112,200,-nan(ind),-nan(ind),123,200,117,200,-nan(ind),0,travel 
10,10,0,112,200,100,200,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
10,13,0,100,200,10,200,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
11,11,0,10,200,-2,200,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
10,10,4,-2,200,1.51472,208.485,-nan(ind),-nan(ind),-7,200,-2.02082,212.021,-nan(ind),0,travel 
11,11,0,1.51472,208.485,10,200,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
11,14,0,10,200,100,110,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
12,12,0,100,110,108.485,101.515,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
11,11,4,108.485,101.515,108,160,-nan(ind),-nan(ind),112.021,97.9792,103,160,-nan(ind),0,travel 
12,12,0,108,160,120,160,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
12,11,0,120,160,160,160,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
12,12,0,160,160,172,160,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
12,12,4,172,160,212,110,-nan(ind),-nan(ind),177,160,217,110,-nan(ind),0,travel 
13,13,0,212,110,200,110,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
13,5,0,200,110,110,110,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
13,13,0,110,110,98,110,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
13,13,4,98,110,1.51472,101.515,-nan(ind),-nan(ind),93,110,-2.02082,97.9792,-nan(ind),0,travel 
14,14,0,1.51472,101.515,10,110,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
14,12,0,10,110,100,200,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
15,15,0,100,200,108.485,208.485,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,travel 
