new_order,old_order,line-type,p1_x,p1_y,p2_x,p2_y,rx,ry,bezier p3_x,bezier p3_y,bezier p4_x,bezier p4_y,filled,work,travle_type
0,0,0,80,15,80,20,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
0,0,0,80,20,80,110,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
1,1,0,80,110,80,120,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
0,0,4,80,120,119.721,57.3204,-nan(ind),-nan(ind),80,120,119.721,57.3204,-nan(ind),0,travel 
1,1,0,119.721,57.3204,124.5,55.85,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
1,28,4,124.5,55.85,124.5,74.15,-nan(ind),-nan(ind),118,57.85,118,72.15,-nan(ind),1,drawn_seg 
2,2,0,124.5,74.15,114.942,71.2091,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
1,1,4,114.942,71.2091,41.2789,57.3204,-nan(ind),-nan(ind),114.942,71.2091,41.2789,57.3204,-nan(ind),0,travel 
2,2,0,41.2789,57.3204,36.5,55.85,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
2,27,4,36.5,55.85,36.5,74.15,-nan(ind),-nan(ind),43,57.85,43,72.15,-nan(ind),1,drawn_seg 
3,3,0,36.5,74.15,46.0578,71.2091,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
2,2,4,46.0578,71.2091,23,105,-nan(ind),-nan(ind),46.0578,71.2091,23,105,-nan(ind),0,travel 
3,3,0,23,105,23,110,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
3,26,4,23,110,20,107,-nan(ind),-nan(ind),23,107,23,107,-nan(ind),1,drawn_seg 
4,4,0,20,107,30,107,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
3,3,4,30,107,137,25,-nan(ind),-nan(ind),30,107,137,25,-nan(ind),0,travel 
4,4,0,137,25,137,20,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
4,25,4,137,20,140,23,-nan(ind),-nan(ind),137,23,137,23,-nan(ind),1,drawn_seg 
5,5,0,140,23,130,23,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
4,4,4,130,23,23,25,-nan(ind),-nan(ind),130,23,23,25,-nan(ind),0,travel 
5,5,0,23,25,23,20,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
5,24,4,23,20,20,23,-nan(ind),-nan(ind),23,23,23,23,-nan(ind),1,drawn_seg 
6,6,0,20,23,25,23,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
5,5,4,25,23,70.1493,67.3055,-nan(ind),-nan(ind),30,23,67.0418,63.3885,-nan(ind),0,travel 
6,6,0,70.1493,67.3055,73.2568,71.2225,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
6,5,1,80,65,73.2568,71.2225,9.15,9.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,1,drawn_seg 
7,7,0,73.2568,71.2225,79.4719,79.0566,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
6,6,4,79.4719,79.0566,119.5,85.15,-nan(ind),-nan(ind),79.4719,79.0566,119.5,85.15,-nan(ind),0,travel 
7,7,0,119.5,85.15,124.5,85.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
7,23,0,124.5,85.15,140,85.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
8,8,0,140,85.15,150,85.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
7,7,4,150,85.15,150.5,68.65,-nan(ind),-nan(ind),150,85.15,150.5,68.65,-nan(ind),0,travel 
8,8,0,150.5,68.65,145.5,68.65,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
8,17,0,145.5,68.65,140,68.65,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
9,9,0,140,68.65,130,68.65,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
8,8,4,130,68.65,129.5,74.15,-nan(ind),-nan(ind),130,68.65,129.5,74.15,-nan(ind),0,travel 
9,9,0,129.5,74.15,134.5,74.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
9,20,0,134.5,74.15,140,74.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
10,10,0,140,74.15,150,74.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
9,9,4,150,74.15,145,55.85,-nan(ind),-nan(ind),150,74.15,145,55.85,-nan(ind),0,travel 
10,10,0,145,55.85,140,55.85,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
10,18,0,140,55.85,134.5,55.85,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
11,11,0,134.5,55.85,124.5,55.85,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
10,10,4,124.5,55.85,135,61.35,-nan(ind),-nan(ind),124.5,55.85,135,61.35,-nan(ind),0,travel 
11,11,0,135,61.35,140,61.35,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
11,15,0,140,61.35,145.5,61.35,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
12,12,0,145.5,61.35,155.5,61.35,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
11,11,4,155.5,61.35,145.5,56.35,-nan(ind),-nan(ind),155.5,61.35,145.5,56.35,-nan(ind),0,travel 
12,12,0,145.5,56.35,145.5,61.35,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
12,16,0,145.5,61.35,145.5,68.65,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
13,13,0,145.5,68.65,145.5,78.65,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
12,12,4,145.5,78.65,145,110,-nan(ind),-nan(ind),145.5,78.65,145,110,-nan(ind),0,travel 
13,13,0,145,110,140,110,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
13,3,0,140,110,20,110,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
14,14,0,20,110,10,110,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
13,13,4,10,110,20,115,-nan(ind),-nan(ind),10,110,20,115,-nan(ind),0,travel 
14,14,0,20,115,20,110,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
14,4,0,20,110,20,20,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
14,14,0,20,20,20,10,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
14,14,4,20,10,15,20,-nan(ind),-nan(ind),20,10,15,20,-nan(ind),0,travel 
15,15,0,15,20,20,20,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
15,1,0,20,20,140,20,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
15,15,0,140,20,150,20,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
15,15,4,150,20,140,15,-nan(ind),-nan(ind),150,20,140,15,-nan(ind),0,travel 
16,16,0,140,15,140,20,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
16,2,0,140,20,140,110,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
17,17,0,140,110,140,120,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
16,16,4,140,120,134.5,50.85,-nan(ind),-nan(ind),140,120,134.5,50.85,-nan(ind),0,travel 
17,17,0,134.5,50.85,134.5,55.85,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
17,19,0,134.5,55.85,134.5,74.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
18,18,0,134.5,74.15,134.5,84.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
17,17,4,134.5,84.15,145,44.85,-nan(ind),-nan(ind),134.5,84.15,145,44.85,-nan(ind),0,travel 
18,18,0,145,44.85,140,44.85,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
18,21,0,140,44.85,124.5,44.85,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
19,19,0,124.5,44.85,114.5,44.85,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
18,18,4,114.5,44.85,124.5,39.85,-nan(ind),-nan(ind),114.5,44.85,124.5,39.85,-nan(ind),0,travel 
19,19,0,124.5,39.85,124.5,44.85,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
19,22,0,124.5,44.85,124.5,85.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
