new_order,old_order,line-type,p1_x,p1_y,p2_x,p2_y,rx,ry,bezier p3_x,bezier p3_y,bezier p4_x,bezier p4_y,filled,work,travle_type
0,0,0,80,20,80,110,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
1,28,4,124.5,55.85,124.5,74.15,-nan(ind),-nan(ind),118,57.85,118,72.15,-nan(ind),1,drawn_seg 
2,27,4,36.5,55.85,36.5,74.15,-nan(ind),-nan(ind),43,57.85,43,72.15,-nan(ind),1,drawn_seg 
3,26,4,23,110,20,107,-nan(ind),-nan(ind),23,107,23,107,-nan(ind),1,drawn_seg 
4,25,4,137,20,140,23,-nan(ind),-nan(ind),137,23,137,23,-nan(ind),1,drawn_seg 
5,24,4,23,20,20,23,-nan(ind),-nan(ind),23,23,23,23,-nan(ind),1,drawn_seg 
6,5,1,80,65,73.2568,71.2225,9.15,9.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,1,drawn_seg 
7,23,0,124.5,85.15,140,85.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
8,17,0,145.5,68.65,140,68.65,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
9,20,0,134.5,74.15,140,74.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
10,18,0,140,55.85,134.5,55.85,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
11,15,0,140,61.35,145.5,61.35,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
12,16,0,145.5,61.35,145.5,68.65,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
13,3,0,140,110,20,110,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
14,4,0,20,110,20,20,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
15,1,0,20,20,140,20,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
16,2,0,140,20,140,110,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
17,19,0,134.5,55.85,134.5,74.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
18,21,0,140,44.85,124.5,44.85,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
19,22,0,124.5,44.85,124.5,85.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
20,14,0,36.5,85.15,20,85.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
21,8,0,14.5,68.65,20,68.65,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
22,11,0,25.5,74.15,20,74.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
23,9,0,20,55.85,25.5,55.85,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
24,6,0,20,61.35,14.5,61.35,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
25,7,0,14.5,61.35,14.5,68.65,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
26,10,0,25.5,55.85,25.5,74.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
27,12,0,20,44.85,36.5,44.85,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
28,13,0,36.5,44.85,36.5,85.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
