new_order,old_order,line-type,p1_x,p1_y,p2_x,p2_y,rx,ry,bezier p3_x,bezier p3_y,bezier p4_x,bezier p4_y,filled,work,travle_type
0,0,0,10,55,10,60,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
0,0,4,10,60,110,60,#NAME?,#NAME?,10,122.5,110,122.5,#NAME?,1,drawn_seg 
1,1,0,110,60,122,60,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
0,0,4,122,60,205,150,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,travel 
1,1,0,150,205,150,210,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
1,3,4,150,210,200,260,#NAME?,#NAME?,150,240,170,260,#NAME?,1,drawn_seg 
2,2,0,200,260,188,260,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
1,1,4,188,260,10,155,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,travel 
2,2,0,10,155,10,160,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
2,2,3,10,160,110,260,#NAME?,#NAME?,10,260,110,160,#NAME?,1,drawn_seg 
2,2,0,200,260,188,260,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
2,2,4,188,260,145,115,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,travel 
3,3,0,145,115,150,110,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
3,1,3,150,110,210,10,#NAME?,#NAME?,180,60,180,60,#NAME?,1,drawn_seg 
