new_order,old_order,line-type,p1_x,p1_y,p2_x,p2_y,rx,ry,bezier p3_x,bezier p3_y,bezier p4_x,bezier p4_y,filled,work,travle_type
0,0,0,100,100,1300,100,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
1,19,0,100,900,200,1000,#NAME?,#NAME?,160,900,200,940,#NAME?,1,drawn_seg 
2,18,0,1300,900,1200,1000,#NAME?,#NAME?,1240,900,1200,940,#NAME?,1,drawn_seg 
3,17,0,1200,100,1300,200,#NAME?,#NAME?,1200,160,1240,200,#NAME?,1,drawn_seg 
4,16,0,100,200,200,100,#NAME?,#NAME?,160,200,200,160,#NAME?,1,drawn_seg 
5,1,0,1300,100,1300,1000,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
6,12,1,700,550,760.425,481.067,91.5,91.5,#NAME?,#NAME?,#NAME?,#NAME?,0,1,drawn_seg 
7,14,1,210,550,211,550,0.75,0.75,#NAME?,#NAME?,#NAME?,#NAME?,1,1,drawn_seg 
8,2,0,1300,1000,100,1000,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
9,13,1,700,550,701,550,0.75,0.75,#NAME?,#NAME?,#NAME?,#NAME?,1,1,drawn_seg 
10,3,0,100,1000,100,100,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
11,15,1,1190,550,1191,550,0.75,0.75,#NAME?,#NAME?,#NAME?,#NAME?,1,1,drawn_seg 
12,4,0,100,348.5,265,348.5,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
13,5,0,265,348.5,265,751.5,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
14,6,0,265,751.5,100,751.5,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
15,7,0,100,751.5,100,348.5,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
16,21,0,70,513.5,70,586.5,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
17,22,0,70,586.5,100,586.5,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
18,20,0,100,513.5,70,513.5,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
19,11,0,700,100,700,1000,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
20,10,0,1245,641.5,1300,641.5,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
21,8,0,1300,458.5,1245.5,458.5,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
22,9,0,1245.5,458.5,1245,641.5,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
