new_order,old_order,line-type,p1_x,p1_y,p2_x,p2_y,rx,ry,bezier p3_x,bezier p3_y,bezier p4_x,bezier p4_y,filled,work,travle_type
0,0,0,90,100,100,100,0,0,0,0,0,0,0,0,pre-pattern 
0,0,0,100,100,1300,100,0,0,0,0,0,0,0,1,drawn_seg 
1,1,0,1300,100,1310,100,0,0,0,0,0,0,0,0,post-pattern 
0,0,0,1310,100,1310,100,0,0,0,0,0,0,0,0,travel 
1,1,0,1310,100,100,900,0,0,0,0,0,0,0,0,pre-pattern 
1,19,0,100,900,200,1000,0,0,160,900,200,940,0,1,drawn_seg 
2,2,0,1300,100,1310,100,0,0,0,0,0,0,0,0,post-pattern 
1,1,4,1310,100,60,586.5,0,0,1315,100,55,586.5,0,0,travel 
2,2,0,60,586.5,70,586.5,0,0,0,0,0,0,0,0,pre-pattern 
2,18,0,1300,900,1200,1000,0,0,1240,900,1200,940,0,1,drawn_seg 
3,3,0,1300,100,1310,100,0,0,0,0,0,0,0,0,post-pattern 
2,2,4,1310,100,60,586.5,0,0,1315,100,55,586.5,0,0,travel 
3,3,0,60,586.5,70,586.5,0,0,0,0,0,0,0,0,pre-pattern 
3,17,0,1200,100,1300,200,0,0,1200,160,1240,200,0,1,drawn_seg 
4,4,0,1300,100,1310,100,0,0,0,0,0,0,0,0,post-pattern 
3,3,4,1310,100,60,586.5,0,0,1315,100,55,586.5,0,0,travel 
4,4,0,60,586.5,70,586.5,0,0,0,0,0,0,0,0,pre-pattern 
4,16,0,100,200,200,100,0,0,160,200,200,160,0,1,drawn_seg 
4,4,0,1300,100,1310,100,0,0,0,0,0,0,0,0,post-pattern 
4,4,4,1310,100,60,586.5,0,0,1315,100,55,586.5,0,0,travel 
5,5,0,60,586.5,70,586.5,0,0,0,0,0,0,0,0,pre-pattern 
5,1,0,1300,100,1300,1000,0,0,0,0,0,0,0,1,drawn_seg 
6,6,0,1300,1000,1300,1010,0,0,0,0,0,0,0,0,post-pattern 
5,5,4,1300,1010,767.533,488.101,0,0,1300,1015,771.087,491.618,0,0,travel 
6,6,0,767.533,488,791.5,600,0,0,0,0,0,0,0,0,pre-pattern 
6,12,1,791.5,600,791.5,550,91.5,91.5,0,0,0,0,0,1,drawn_seg 
7,7,0,760.425,481.067,753.317,474.034,0,0,0,0,0,0,0,0,post-pattern 
6,6,0,753.317,474.034,753.317,474.034,0,0,0,0,0,0,0,0,travel 
0,0,0,753.317,474.034,210,550,0,0,0,0,0,0,0,0,pre-pattern 
7,14,1,210,550,211,550,0.75,0.75,0,0,0,0,1,1,drawn_seg 
7,7,0,211,550,211,550,0,0,0,0,0,0,0,0,post-pattern 
7,7,0,211,550,1310,1000,0,0,0,0,0,0,0,0,travel 
8,8,0,1310,1000,1300,1000,0,0,0,0,0,0,0,0,pre-pattern 
8,2,0,1300,1000,100,1000,0,0,0,0,0,0,0,1,drawn_seg 
9,9,0,100,1000,90,1000,0,0,0,0,0,0,0,0,post-pattern 
8,8,0,90,1000,90,1000,0,0,0,0,0,0,0,0,travel 
0,0,0,90,1000,700,550,0,0,0,0,0,0,0,0,pre-pattern 
9,13,1,700,550,701,550,0.75,0.75,0,0,0,0,1,1,drawn_seg 
9,9,0,701,550,701,550,0,0,0,0,0,0,0,0,post-pattern 
9,9,0,701,550,100,1010,0,0,0,0,0,0,0,0,travel 
10,10,0,100,1010,100,1000,0,0,0,0,0,0,0,0,pre-pattern 
10,3,0,100,1000,100,100,0,0,0,0,0,0,0,1,drawn_seg 
11,11,0,100,100,100,90,0,0,0,0,0,0,0,0,post-pattern 
10,10,0,100,90,100,90,0,0,0,0,0,0,0,0,travel 
