new_order,old_order,line-type,p1_x,p1_y,p2_x,p2_y,rx,ry,bezier p3_x,bezier p3_y,bezier p4_x,bezier p4_y,filled,work,travle_type
0,0,0,0,10,10,10,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
0,0,0,10,10,100,10,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
0,0,0,100,10,110,10,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
0,0,4,110,10,104.061,0.861885,#NAME?,#NAME?,115,10,106.092,-3.70717,#NAME?,0,travel 
1,1,0,104.061,0.861885,100,10,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
1,1,0,100,10,60,100,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
1,1,0,60,100,55.9386,109.138,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
1,1,4,55.9386,109.138,64.8564,108.742,#NAME?,#NAME?,53.9079,113.707,67.2846,113.112,#NAME?,0,travel 
2,2,0,64.8564,108.742,60,100,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
2,2,0,60,100,10,10,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
2,2,0,10,10,5.14357,1.25843,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
2,2,4,5.14357,1.25843,100,10,#NAME?,#NAME?,2.71536,-3.11236,95,10,#NAME?,0,travel 
3,3,0,100,10,110,10,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
3,3,0,110,10,200,10,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
3,3,0,200,10,210,10,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
3,3,4,210,10,200,0,#NAME?,#NAME?,215,10,200,-5,#NAME?,0,travel 
4,4,0,200,0,200,10,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
4,4,0,200,10,200,110,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
4,4,0,200,110,200,120,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
4,4,4,200,120,210,110,#NAME?,#NAME?,200,125,215,110,#NAME?,0,travel 
5,5,0,210,110,200,110,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
5,5,0,200,110,110,110,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
5,5,0,110,110,100,110,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
5,5,4,100,110,110,120,#NAME?,#NAME?,95,110,110,125,#NAME?,0,travel 
6,6,0,110,120,110,110,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
6,6,0,110,110,110,10,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
6,6,0,110,10,110,0,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
6,6,4,110,0,152.929,112.929,#NAME?,#NAME?,110,-5,149.393,109.393,#NAME?,0,travel 
7,7,0,152.929,112.929,160,120,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
7,7,0,160,120,200,160,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
7,7,0,200,160,207.071,167.071,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
7,7,4,207.071,167.071,204.472,151.056,#NAME?,#NAME?,210.607,170.607,206.708,146.584,#NAME?,0,travel 
8,8,0,204.472,151.056,200,160,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
8,8,0,200,160,180,200,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
8,8,0,180,200,175.528,208.944,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
8,8,4,175.528,208.944,190,200,#NAME?,#NAME?,173.292,213.416,195,200,#NAME?,0,travel 
9,9,0,190,200,180,200,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
9,9,0,180,200,140,200,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
10,10,0,140,200,130,200,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
9,9,4,130,200,110,200,#NAME?,#NAME?,125,200,115,200,#NAME?,0,travel 
