new_order,old_order,line-type,p1_x,p1_y,p2_x,p2_y,rx,ry,bezier p3_x,bezier p3_y,bezier p4_x,bezier p4_y,filled,work,travle_type
0,0,0,#NAME?,#NAME?,0,0,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
0,0,4,10,110,110,110,#NAME?,#NAME?,55,55,55,55,#NAME?,1,drawn_seg 
1,1,0,110,110,122,110,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
0,0,4,122,110,155,145,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,travel 
1,1,0,155,145,160,150,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
1,3,4,160,150,250,200,#NAME?,#NAME?,200,200,200,200,#NAME?,1,drawn_seg 
2,2,0,250,200,238,200,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
1,1,4,238,200,5,145,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,travel 
2,2,0,5,145,10,150,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
2,2,3,10,150,110,150,#NAME?,#NAME?,60,200,60,200,#NAME?,1,drawn_seg 
2,2,0,250,200,238,200,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
2,2,4,238,200,145,105,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,travel 
3,3,0,145,105,150,110,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
3,1,3,150,110,250,110,#NAME?,#NAME?,200,10,200,10,#NAME?,1,drawn_seg 
