new_order,old_order,line-type,p1_x,p1_y,p2_x,p2_y,rx,ry,bezier p3_x,bezier p3_y,bezier p4_x,bezier p4_y,filled,work,travle_type
0,0,0,95,100,100,100,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
0,0,0,100,100,1300,100,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
1,1,0,1300,100,1305,100,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
0,0,4,1305,100,654.778,470.454,-nan(ind),-nan(ind),1310,100,659.139,468.008,-nan(ind),0,travel 
1,1,0,654.778,470.454,650.418,472.901,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
1,21,1,700,550,650.418,472.901,91.5,91.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,1,drawn_seg 
2,2,0,650.418,472.901,646.057,475.348,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
1,1,4,646.057,475.348,696.129,546.753,-nan(ind),-nan(ind),641.697,477.795,692.817,543.007,-nan(ind),0,travel 
2,2,0,696.129,546.753,699.44,550.499,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
2,22,1,700,550,699.44,550.499,0.75,0.75,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,1,drawn_seg 
3,3,0,699.44,550.499,702.752,554.245,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
2,2,4,702.752,554.245,215.017,549.375,-nan(ind),-nan(ind),706.063,557.991,220.015,549.5,-nan(ind),0,travel 
3,3,0,215.017,549.375,210.018,549.25,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
3,23,1,210,550,210.018,549.25,0.75,0.75,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,1,drawn_seg 
4,4,0,210.018,549.25,205.02,549.125,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
3,3,4,205.02,549.125,1185,550.741,-nan(ind),-nan(ind),200.021,549,1180,550.731,-nan(ind),0,travel 
4,4,0,1185,550.741,1190,550.75,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
4,24,1,1190,550,1190,550.75,0.75,0.75,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,1,drawn_seg 
5,5,0,1190,550.75,1200,550.769,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
4,4,4,1200,550.769,1240,458.5,-nan(ind),-nan(ind),1200,550.769,1240,458.5,-nan(ind),0,travel 
5,5,0,1240,458.5,1245,458.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
5,16,0,1245,458.5,1300,458.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
6,6,0,1300,458.5,1310,458.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
