new_order,old_order,line-type,p1_x,p1_y,p2_x,p2_y,rx,ry,bezier p3_x,bezier p3_y,bezier p4_x,bezier p4_y,filled,work,travle_type
0,0,0,57,20,57,30,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
1,1,0,57,30,57,40,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,#NAME?
7,7,1,50,40,57,40,7,7,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
1,1,4,57,40,58,30,#NAME?,#NAME?,57,50,58,20,#NAME?,0,#NAME?
1,1,0,58,30,58,40,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,#NAME?
8,8,1,50,40,58,40,8,8,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
1,1,4,58,40,59,30,#NAME?,#NAME?,58,50,59,20,#NAME?,0,#NAME?
1,1,0,59,30,59,40,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,#NAME?
9,9,1,50,40,59,40,9,9,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
1,1,4,59,40,60,30,#NAME?,#NAME?,59,50,60,20,#NAME?,0,#NAME?
1,1,0,60,30,60,40,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,#NAME?
10,10,1,50,40,60,40,10,10,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
1,1,4,60,40,61,30,#NAME?,#NAME?,60,50,61,20,#NAME?,0,#NAME?
1,1,0,60,30,61,40,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,#NAME?
11,11,1,61,40,61,40,11,11,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
1,1,4,61,40,62,30,#NAME?,#NAME?,61,50,62,20,#NAME?,0,#NAME?
1,1,0,61,30,62,40,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,#NAME?
12,12,1,62,40,62,40,12,12,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
1,1,4,62,40,63,30,#NAME?,#NAME?,62,50,63,20,#NAME?,0,#NAME?
1,1,0,62,30,63,40,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,#NAME?
13,13,1,63,40,63,40,13,13,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
1,1,4,63,40,64,30,#NAME?,#NAME?,63,50,64,20,#NAME?,0,#NAME?
1,1,0,63,30,64,40,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,#NAME?
14,14,1,64,40,64,40,14,14,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
1,1,4,64,40,65,30,#NAME?,#NAME?,64,50,65,20,#NAME?,0,#NAME?
1,1,0,64,30,65,40,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,#NAME?
15,1,1,50,40,51,40,15,15,#NAME?,#NAME?,#NAME?,#NAME?,1,1,drawn_seg 
