new_order,old_order,line-type,p1_x,p1_y,p2_x,p2_y,rx,ry,bezier p3_x,bezier p3_y,bezier p4_x,bezier p4_y,filled,work,travle_type
0,0,0,70,100,100,100,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
0,0,0,100,100,1300,100,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
1,1,0,1300,100,1330,100,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
0,0,4,1330,100,237.474,537.929,-nan(ind),-nan(ind),1630,100,515.065,424.16,-nan(ind),0,travel 
1,1,0,237.474,537.929,209.715,549.306,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
1,23,1,210,550,209.715,549.306,0.75,0.75,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,1,drawn_seg 
2,2,0,209.715,549.306,181.956,560.683,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
1,1,4,181.956,560.683,662.274,636.085,-nan(ind),-nan(ind),-95.6344,674.452,367.251,581.665,-nan(ind),0,travel 
2,2,0,662.274,636.085,691.776,641.527,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
2,21,1,700,550,691.776,641.527,91.5,91.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,1,drawn_seg 
3,3,0,691.776,641.527,721.279,646.969,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
2,2,4,721.279,646.969,699.755,580.005,-nan(ind),-nan(ind),1016.3,701.389,689.804,879.84,-nan(ind),0,travel 
3,3,0,699.755,580.005,700.75,550.022,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
3,22,1,700,550,700.75,550.022,0.75,0.75,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,1,drawn_seg 
4,4,0,700.75,550.022,701.745,520.038,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
3,3,4,701.745,520.038,1159.99,550.337,-nan(ind),-nan(ind),711.696,220.203,860.021,546.213,-nan(ind),0,travel 
4,4,0,1159.99,550.337,1189.99,550.75,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
4,24,1,1190,550,1189.99,550.75,0.75,0.75,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,1,drawn_seg 
5,5,0,1189.99,550.75,1190.99,550.764,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
4,4,4,1190.99,550.764,1215,458.5,-nan(ind),-nan(ind),1519.96,555.287,-8655,458.5,-nan(ind),0,travel 
5,5,0,1215,458.5,1245,458.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
5,16,0,1245,458.5,1300,458.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
6,6,0,1300,458.5,1301,458.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
5,5,4,1301,458.5,1300,428.5,-nan(ind),-nan(ind),1630,458.5,1300,-9441.5,-nan(ind),0,travel 
6,6,0,1300,428.5,1300,458.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
6,17,0,1300,458.5,1300,641.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
7,7,0,1300,641.5,1300,642.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
6,6,4,1300,642.5,1330,641.5,-nan(ind),-nan(ind),1300,971.5,11200,641.5,-nan(ind),0,travel 
7,7,0,1330,641.5,1300,641.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
7,18,0,1300,641.5,1245,641.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
8,8,0,1245,641.5,1244,641.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
7,7,4,1244,641.5,1245,671.5,-nan(ind),-nan(ind),915,641.5,1245,10541.5,-nan(ind),0,travel 
8,8,0,1245,671.5,1245,641.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
8,19,0,1245,641.5,1245,458.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
9,9,0,1245,458.5,1245,457.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
8,8,4,1245,457.5,1300,318.5,-nan(ind),-nan(ind),1245,128.5,1300,-9551.5,-nan(ind),0,travel 
9,9,0,1300,318.5,1300,348.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
9,9,0,1300,348.5,1300,751.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
10,10,0,1300,751.5,1300,752.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
9,9,4,1300,752.5,1330,751.5,-nan(ind),-nan(ind),1300,1081.5,11200,751.5,-nan(ind),0,travel 
10,10,0,1330,751.5,1300,751.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
