new_order,old_order,line-type,p1_x,p1_y,p2_x,p2_y,rx,ry,bezier p3_x,bezier p3_y,bezier p4_x,bezier p4_y,filled,work,travle_type
0,0,0,4,1,4,4,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
0,0,4,4,24,44,24,#NAME?,#NAME?,4,49,44,49,#NAME?,1,drawn_seg 
1,1,0,44,24,54,24,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
0,0,0,54,24,54,30,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,travel 
1,1,0,54,30,60,84,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
1,3,4,60,84,80,104,#NAME?,#NAME?,60,96,68,104,#NAME?,1,drawn_seg 
2,2,0,80,104,70,104,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
1,1,0,70,104,4,50,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,travel 
2,2,0,4,50,4,64,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
2,2,4,4,64,44,104,#NAME?,#NAME?,4,104,44,64,#NAME?,1,drawn_seg 
2,2,0,80,104,70,104,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
2,2,0,70,104,50,35,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,travel 
3,3,0,50,35,60,44,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
3,1,4,60,44,84,4,#NAME?,#NAME?,72,24,72,24,#NAME?,1,drawn_seg 
