new_order,old_order,line-type,p1_x,p1_y,p2_x,p2_y,rx,ry,bezier p3_x,bezier p3_y,bezier p4_x,bezier p4_y,filled,work,travle_type
0,0,0,88,100,100,100,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
0,0,0,100,100,1300,100,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
1,1,0,1300,100,1312,100,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
0,0,4,1312,100,88,900,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,travel 
1,1,0,88,900,100,900,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
1,19,0,100,900,200,1000,#NAME?,#NAME?,160,900,200,940,#NAME?,1,drawn_seg 
2,2,0,1300,100,1312,100,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
1,1,4,1312,100,58,586.5,#NAME?,#NAME?,1317,100,53,586.5,#NAME?,0,travel 
2,2,0,58,586.5,70,586.5,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
2,18,0,1300,900,1200,1000,#NAME?,#NAME?,1240,900,1200,940,#NAME?,1,drawn_seg 
3,3,0,1300,100,1312,100,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
2,2,4,1312,100,58,586.5,#NAME?,#NAME?,1317,100,53,586.5,#NAME?,0,travel 
3,3,0,58,586.5,70,586.5,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
3,17,0,1200,100,1300,200,#NAME?,#NAME?,1200,160,1240,200,#NAME?,1,drawn_seg 
4,4,0,1300,100,1312,100,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
3,3,4,1312,100,58,586.5,#NAME?,#NAME?,1317,100,53,586.5,#NAME?,0,travel 
4,4,0,58,586.5,70,586.5,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
4,16,0,100,200,200,100,#NAME?,#NAME?,160,200,200,160,#NAME?,1,drawn_seg 
4,4,0,1300,100,1312,100,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
4,4,4,1312,100,58,586.5,#NAME?,#NAME?,1317,100,53,586.5,#NAME?,0,travel 
5,5,0,58,586.5,70,586.5,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
5,1,0,1300,100,1300,1000,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
6,6,0,1300,1000,1300,1012,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
5,5,4,1300,1012,701,538,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,travel 
5,5,0,701,538,701,550,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
6,13,1,700,550,701,550,0.75,0.75,#NAME?,#NAME?,#NAME?,#NAME?,1,1,drawn_seg 
6,6,0,701,550,701,562,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
6,6,4,701,562,1312,1000,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,travel 
7,7,0,1312,1000,1300,1000,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
7,2,0,1300,1000,100,1000,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
8,8,0,100,1000,88,1000,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
7,7,4,88,1000,739,633.027,#NAME?,#NAME?,83,1000,734.636,635.468,#NAME?,0,travel 
8,8,0,739,633.027,749.473,627.169,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
8,12,1,700,550,749.473,627.169,91.5,91.5,#NAME?,#NAME?,#NAME?,#NAME?,0,1,drawn_seg 
9,9,0,749.473,627.169,759.945,621.31,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
8,8,4,759.945,621.31,1179,550,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,travel 
8,8,0,1179,550,1191,550,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
9,15,1,1190,550,1191,550,0.75,0.75,#NAME?,#NAME?,#NAME?,#NAME?,1,1,drawn_seg 
9,9,0,1191,550,1203,550,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
9,9,4,1203,550,100,1012,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,travel 
10,10,0,100,1012,100,1000,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
10,3,0,100,1000,100,100,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
11,11,0,100,100,100,88,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
10,10,4,100,88,211,538,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,travel 
10,10,0,211,538,211,550,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
