new_order,old_order,line-type,p1_x,p1_y,p2_x,p2_y,rx,ry,bezier p3_x,bezier p3_y,bezier p4_x,bezier p4_y,filled,work,travle_type
0,0,0,85,100,100,100,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
0,0,0,100,100,1300,100,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
1,1,0,1300,100,1315,100,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
0,0,4,1315,100,223.595,543.618,-nan(ind),-nan(ind),1335,100,242.101,536.033,-nan(ind),0,travel 
1,1,0,223.595,543.618,209.715,549.306,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
1,23,1,210,550,209.715,549.306,0.75,0.75,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,1,drawn_seg 
2,2,0,209.715,549.306,195.836,554.995,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
1,1,4,195.836,554.995,685.002,550.775,-nan(ind),-nan(ind),177.33,562.579,665.002,550.809,-nan(ind),0,travel 
2,2,0,685.002,550.775,700.002,550.75,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
2,22,1,700,550,700.002,550.75,0.75,0.75,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,1,drawn_seg 
3,3,0,700.002,550.75,715.002,550.725,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
2,2,4,715.002,550.725,1175,550.75,-nan(ind),-nan(ind),735.002,550.691,1155,550.749,-nan(ind),0,travel 
3,3,0,1175,550.75,1190,550.75,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
3,24,1,1190,550,1190,550.75,0.75,0.75,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,1,drawn_seg 
4,4,0,1190,550.75,1205,550.75,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
3,3,4,1205,550.75,723.39,461.302,-nan(ind),-nan(ind),1225,550.751,743.041,465.022,-nan(ind),0,travel 
4,4,0,723.39,461.302,708.651,458.513,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
4,21,1,700,550,708.651,458.513,91.5,91.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,1,drawn_seg 
5,5,0,708.651,458.513,707.669,458.327,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
4,4,4,707.669,458.327,700,85,-nan(ind),-nan(ind),674.262,452.004,700,-425,-nan(ind),0,travel 
5,5,0,700,85,700,100,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
5,20,0,700,100,700,1000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
6,6,0,700,1000,700,1001,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
5,5,4,700,1001,280,751.5,-nan(ind),-nan(ind),700,1035,790,751.5,-nan(ind),0,travel 
6,6,0,280,751.5,265,751.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
6,6,0,265,751.5,100,751.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
