new_order,old_order,line-type,p1_x,p1_y,p2_x,p2_y,rx,ry,bezier p3_x,bezier p3_y,bezier p4_x,bezier p4_y,filled,work,travle_type
0,0,0,100,100,1300,100,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
1,22,1,700,550,650.141,473.077,91.5,91.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,1,drawn_seg 
2,24,1,210,550,209.877,549.26,0.75,0.75,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,1,drawn_seg 
3,23,1,700,550,700.001,550.75,0.75,0.75,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,1,drawn_seg 
4,25,1,1190,550,1190,550.75,0.75,0.75,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,1,drawn_seg 
5,20,2,1135,550,1105,550,30,90,-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,1,drawn_seg 
6,15,0,1245,458.5,1300,458.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
7,16,0,1300,458.5,1300,641.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
8,17,0,1300,641.5,1245,641.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
9,18,0,1245,641.5,1245,458.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
10,8,0,1300,348.5,1300,751.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
11,9,0,1300,751.5,1135,751.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
12,10,0,1135,751.5,1135,348.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
13,7,0,1135,348.5,1300,348.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
14,1,0,1300,100,1300,1000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
15,2,0,1300,1000,100,1000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
16,3,0,100,1000,100,100,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
17,4,0,100,348.5,265,348.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
18,5,0,265,348.5,265,751.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
19,6,0,265,751.5,100,751.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
20,14,0,100,641.5,100,458.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
21,11,0,100,458.5,155,458.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
22,12,0,155,458.5,155,641.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
23,13,0,155,641.5,100,641.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
24,19,2,265,550,235,550,30,90,-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,1,drawn_seg 
25,21,0,700,100,700,1000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
