new_order,old_order,line-type,p1_x,p1_y,p2_x,p2_y,rx,ry,bezier p3_x,bezier p3_y,bezier p4_x,bezier p4_y,filled,work,travle_type
0,0,0,50,100,100,100,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
0,0,0,100,100,1300,100,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,drawn_seg 
1,1,0,1300,100,1350,100,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
0,0,4,1350,100,739.725,519.629,-nan(ind),-nan(ind),2350,100,1543.17,-75.7509,-nan(ind),0,travel 
1,1,0,739.725,519.629,699.553,549.398,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
1,22,1,700,550,699.553,549.398,0.75,0.75,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,1,drawn_seg 
2,2,0,699.553,549.398,659.381,579.167,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
1,1,4,659.381,579.167,260.004,549.634,-nan(ind),-nan(ind),-144.064,1174.55,1259.97,557.308,-nan(ind),0,travel 
2,2,0,260.004,549.634,210.005,549.25,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
2,23,1,210,550,210.005,549.25,0.75,0.75,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,1,drawn_seg 
3,3,0,210.005,549.25,160.007,548.866,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
2,2,4,160.007,548.866,1140,550.672,-nan(ind),-nan(ind),-839.964,541.192,140,549.104,-nan(ind),0,travel 
3,3,0,1140,550.672,1190,550.75,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,pre-pattern 
3,24,1,1190,550,1190,550.75,0.75,0.75,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1,1,drawn_seg 
4,4,0,1190,550.75,1240,550.828,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,post-pattern 
3,3,4,1240,550.828,757.781,467.812,-nan(ind),-nan(ind),2240,552.396,1740.33,653.793,-nan(ind),0,travel 
