new_order,old_order,line-type,p1_x,p1_y,p2_x,p2_y,rx,ry,bezier p3_x,bezier p3_y,bezier p4_x,bezier p4_y,filled,work,travle_type
0,0,0,-2,3,10,3,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
0,0,0,10,3,30,3,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
0,0,0,30,3,31,3,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
0,0,4,31,3,88,25,#NAME?,#NAME?,47,3,-104,25,#NAME?,0,travel 
1,1,0,88,25,100,25,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
1,1,0,100,25,160,25,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
1,1,0,160,25,161,25,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
1,1,4,161,25,172,26,#NAME?,#NAME?,177,25,364,26,#NAME?,0,travel 
2,2,0,172,26,160,26,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
2,2,0,160,26,100,26,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
2,2,0,100,26,99,26,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
2,2,4,99,26,88,24,#NAME?,#NAME?,83,26,-104,24,#NAME?,0,travel 
3,3,0,88,24,100,24,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
3,3,0,100,24,160,24,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
3,3,0,160,24,161,24,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
3,3,4,161,24,172,27,#NAME?,#NAME?,177,24,364,27,#NAME?,0,travel 
4,4,0,172,27,160,27,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
4,4,0,160,27,100,27,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
4,4,0,100,27,99,27,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
4,4,4,99,27,88,23,#NAME?,#NAME?,83,27,-104,23,#NAME?,0,travel 
5,5,0,88,23,100,23,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
5,5,0,100,23,160,23,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
5,5,0,160,23,161,23,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
5,5,4,161,23,172,28,#NAME?,#NAME?,177,23,364,28,#NAME?,0,travel 
6,6,0,172,28,160,28,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
6,6,0,160,28,100,28,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
6,6,0,100,28,99,28,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
6,6,4,99,28,88,22,#NAME?,#NAME?,83,28,-104,22,#NAME?,0,travel 
7,7,0,88,22,100,22,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
7,7,0,100,22,160,22,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
7,7,0,160,22,161,22,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
7,7,4,161,22,172,29,#NAME?,#NAME?,177,22,364,29,#NAME?,0,travel 
8,8,0,172,29,160,29,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
8,8,0,160,29,100,29,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
8,8,0,100,29,99,29,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
8,8,4,99,29,88,21,#NAME?,#NAME?,83,29,-104,21,#NAME?,0,travel 
9,9,0,88,21,100,21,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
9,9,0,100,21,160,21,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
9,9,0,160,21,161,21,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
9,9,4,161,21,172,30,#NAME?,#NAME?,177,21,364,30,#NAME?,0,travel 
10,10,0,172,30,160,30,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
10,10,0,160,30,100,30,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
10,10,0,100,30,99,30,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
10,10,4,99,30,88,20,#NAME?,#NAME?,83,30,-104,20,#NAME?,0,travel 
11,11,0,88,20,100,20,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
11,11,0,100,20,160,20,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
11,11,0,160,20,161,20,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
11,11,4,161,20,172,31,#NAME?,#NAME?,177,20,364,31,#NAME?,0,travel 
12,12,0,172,31,160,31,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
12,12,0,160,31,100,31,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
12,12,0,100,31,99,31,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
12,12,4,99,31,88,19,#NAME?,#NAME?,83,31,-104,19,#NAME?,0,travel 
13,13,0,88,19,100,19,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
13,13,0,100,19,160,19,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
13,13,0,160,19,161,19,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
13,13,4,161,19,172,32,#NAME?,#NAME?,177,19,364,32,#NAME?,0,travel 
14,14,0,172,32,160,32,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
14,14,0,160,32,100,32,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
14,14,0,100,32,99,32,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
14,14,4,99,32,88,18,#NAME?,#NAME?,83,32,-104,18,#NAME?,0,travel 
15,15,0,88,18,100,18,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
15,15,0,100,18,160,18,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
15,15,0,160,18,161,18,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
15,15,4,161,18,172,33,#NAME?,#NAME?,177,18,364,33,#NAME?,0,travel 
16,16,0,172,33,160,33,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
16,16,0,160,33,100,33,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
16,16,0,100,33,99,33,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
16,16,4,99,33,88,17,#NAME?,#NAME?,83,33,-104,17,#NAME?,0,travel 
17,17,0,88,17,100,17,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
17,17,0,100,17,160,17,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
17,17,0,160,17,161,17,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
17,17,4,161,17,172,34,#NAME?,#NAME?,177,17,364,34,#NAME?,0,travel 
18,18,0,172,34,160,34,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
18,18,0,160,34,100,34,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
18,18,0,100,34,99,34,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
18,18,4,99,34,88,16,#NAME?,#NAME?,83,34,-104,16,#NAME?,0,travel 
19,19,0,88,16,100,16,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
19,19,0,100,16,160,16,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
19,19,0,160,16,161,16,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
19,19,4,161,16,172,35,#NAME?,#NAME?,177,16,364,35,#NAME?,0,travel 
20,20,0,172,35,160,35,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
20,20,0,160,35,100,35,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
20,20,0,100,35,99,35,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
20,20,4,99,35,88,15,#NAME?,#NAME?,83,35,-104,15,#NAME?,0,travel 
21,21,0,88,15,100,15,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
21,21,0,100,15,160,15,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
21,21,0,160,15,161,15,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
21,21,4,161,15,172,36,#NAME?,#NAME?,177,15,364,36,#NAME?,0,travel 
22,22,0,172,36,160,36,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
22,22,0,160,36,100,36,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
22,22,0,100,36,99,36,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
22,22,4,99,36,88,14,#NAME?,#NAME?,83,36,-104,14,#NAME?,0,travel 
23,23,0,88,14,100,14,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
23,23,0,100,14,160,14,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
23,23,0,160,14,161,14,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
23,23,4,161,14,172,37,#NAME?,#NAME?,177,14,364,37,#NAME?,0,travel 
24,24,0,172,37,160,37,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
24,24,0,160,37,100,37,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
24,24,0,100,37,99,37,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
24,24,4,99,37,88,13,#NAME?,#NAME?,83,37,-104,13,#NAME?,0,travel 
25,25,0,88,13,100,13,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
25,25,0,100,13,160,13,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
25,25,0,160,13,161,13,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
25,25,4,161,13,172,38,#NAME?,#NAME?,177,13,364,38,#NAME?,0,travel 
26,26,0,172,38,160,38,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
26,26,0,160,38,100,38,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
26,26,0,100,38,99,38,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
26,26,4,99,38,88,12,#NAME?,#NAME?,83,38,-104,12,#NAME?,0,travel 
27,27,0,88,12,100,12,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
27,27,0,100,12,160,12,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
27,27,0,160,12,161,12,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,post-pattern 
27,27,4,161,12,172,39,#NAME?,#NAME?,177,12,364,39,#NAME?,0,travel 
28,28,0,172,39,160,39,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0,pre-pattern 
28,28,0,160,39,100,39,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1,drawn_seg 
