new_order,old_order,line-type,p1_x,p1_y,p2_x,p2_y,rx,ry,filled,work,travle_type
0,0,0,55,50,60,50,0,0,0,0,pre-pattern
0,0,0,60,50,70,50,0,0,0,1,drawn_seg
1,1,0,70,50,75,50,0,0,0,0,post-pattern
0,0,0,75,50,190,75,0,0,0,0,travel
1,1,0,190,75,190,80,0,0,0,0,pre-pattern
1,10,2,196,80,190,80,6,10,0,1,drawn_seg
2,2,0,190,80,190,85,0,0,0,0,post-pattern
1,1,0,190,85,164,65,0,0,0,0,travel
2,2,0,164,65,164,60,0,0,0,0,pre-pattern
2,7,2,170,60,164,60,6,10,0,1,drawn_seg
3,3,0,164,60,164,55,0,0,0,0,post-pattern
2,2,0,164,55,178,105,0,0,0,0,travel
3,3,0,178,105,178,110,0,0,0,0,pre-pattern
3,12,2,184,110,178,110,6,10,0,1,drawn_seg
4,4,0,178,110,178,115,0,0,0,0,post-pattern
3,3,0,178,115,134,45,0,0,0,0,travel
4,4,0,134,45,134,40,0,0,0,0,pre-pattern
4,5,2,140,40,134,40,6,10,0,1,drawn_seg
5,5,0,134,40,134,35,0,0,0,0,post-pattern
4,4,0,134,35,175,146,0,0,0,0,travel
5,5,0,175,146,180,146,0,0,0,0,pre-pattern
5,14,2,180,140,180,146,10,6,0,1,drawn_seg
6,6,0,180,146,185,146,0,0,0,0,post-pattern
5,5,0,185,146,115,60,0,0,0,0,travel
6,6,0,115,60,110,60,0,0,0,0,pre-pattern
6,3,2,110,54,110,60,10,6,0,1,drawn_seg
7,7,0,110,60,105,60,0,0,0,0,post-pattern
6,6,0,105,60,195,176,0,0,0,0,travel
7,7,0,195,176,200,176,0,0,0,0,pre-pattern
7,16,2,200,170,200,176,10,6,0,1,drawn_seg
7,7,0,200,176,205,176,0,0,0,0,post-pattern
7,7,0,205,176,85,50,0,0,0,0,travel
8,8,0,85,50,80,50,0,0,0,0,pre-pattern
8,1,2,80,44,80,50,10,6,0,1,drawn_seg
8,8,0,80,50,75,50,0,0,0,0,post-pattern
8,8,0,75,50,85,50,0,0,0,0,travel
9,9,0,85,50,90,50,0,0,0,0,pre-pattern
9,2,0,90,50,100,50,0,0,0,1,drawn_seg
10,10,0,100,50,105,50,0,0,0,0,post-pattern
9,9,0,105,50,160,190,0,0,0,0,travel
10,10,0,160,190,165,190,0,0,0,0,pre-pattern
10,19,2,165,184,165,190,10,6,0,1,drawn_seg
11,11,0,165,190,170,190,0,0,0,0,post-pattern
10,10,0,170,190,160,190,0,0,0,0,travel
11,11,0,160,190,155,190,0,0,0,0,pre-pattern
11,20,0,155,190,145,190,0,0,0,1,drawn_seg
12,12,0,145,190,140,190,0,0,0,0,post-pattern
11,11,0,140,190,130,190,0,0,0,0,travel
12,12,0,130,190,135,190,0,0,0,0,pre-pattern
12,21,2,135,196,135,190,10,6,0,1,drawn_seg
13,13,0,135,190,140,190,0,0,0,0,post-pattern
12,12,0,140,190,130,190,0,0,0,0,travel
13,13,0,130,190,125,190,0,0,0,0,pre-pattern
13,22,0,125,190,115,190,0,0,0,1,drawn_seg
14,14,0,115,190,110,190,0,0,0,0,post-pattern
13,13,0,110,190,99,185,0,0,0,0,travel
14,14,0,99,185,99,180,0,0,0,0,pre-pattern
14,23,2,105,180,99,180,6,10,0,1,drawn_seg
15,15,0,99,180,99,175,0,0,0,0,post-pattern
14,14,0,99,175,100,190,0,0,0,0,travel
15,15,0,100,190,95,190,0,0,0,0,pre-pattern
15,24,0,95,190,85,190,0,0,0,1,drawn_seg
16,16,0,85,190,80,190,0,0,0,0,post-pattern
15,15,0,80,190,69,195,0,0,0,0,travel
16,16,0,69,195,69,200,0,0,0,0,pre-pattern
16,25,2,75,200,69,200,6,10,0,1,drawn_seg
17,17,0,69,200,69,205,0,0,0,0,post-pattern
16,16,0,69,205,70,190,0,0,0,0,travel
